Hour,Day_of_Week,Temperature,Humidity,Is_Weekend,Consumption_kWh
6,2,21.5,43.0,0,6.05
11,2,27.4,76.7,0,10.51
9,0,28.3,58.3,0,9.77
5,5,33.8,72.4,1,7.39
23,2,22.6,47.8,0,6.06
0,6,27.8,69.1,1,4.94
2,3,17.7,46.0,0,2.62
4,6,31.9,52.6,1,6.5
23,0,21.5,92.3,0,5.54
16,1,17.2,66.5,0,5.6
21,2,27.6,47.5,0,7.65
4,0,34.6,53.7,0,7.53
17,3,18.9,59.9,0,5.41
8,4,21.5,73.2,0,8.28
11,4,23.5,47.7,0,8.78
0,1,21.2,28.9,0,3.61
14,1,30.3,50.8,0,8.92
19,3,23.2,55.2,0,6.13
15,4,23.7,56.6,0,7.83
3,6,31.5,74.8,1,5.47
12,6,23.5,59.8,1,8.23
6,2,30.6,67.2,0,8.45
23,1,22.2,38.5,0,4.67
21,1,20.7,68.0,0,6.54
4,6,17.0,86.4,1,4.46
12,3,39.2,66.6,0,14.03
22,6,26.1,58.8,1,5.99
20,4,29.5,57.3,0,7.76
16,4,27.8,81.8,0,7.19
15,0,29.0,41.1,0,8.03
1,4,28.3,53.3,0,5.55
17,2,39.4,61.9,0,12.23
11,5,21.8,66.2,1,8.25
2,0,18.7,48.4,0,4.02
5,1,21.9,59.6,0,5.94
12,4,20.0,50.8,0,7.91
17,4,32.5,56.8,0,8.01
12,5,32.9,53.0,1,9.75
14,3,22.2,37.9,0,5.54
20,2,19.7,54.7,0,7.14
16,2,25.9,68.2,0,6.19
8,2,36.3,40.5,0,12.9
15,4,11.1,51.4,0,6.44
14,3,31.2,65.0,0,10.2
2,2,21.5,39.0,0,3.89
1,1,34.2,57.7,0,7.26
15,4,21.5,39.1,0,5.84
9,1,26.3,72.0,0,9.54
14,1,19.0,89.7,0,7.02
7,2,22.1,85.3,0,7.1
5,5,36.3,51.7,1,8.74
3,3,32.9,66.1,0,7.78
9,4,25.6,56.8,0,8.08
19,0,22.8,56.5,0,6.35
9,2,16.6,78.2,0,8.21
9,5,25.6,35.2,1,8.51
13,5,27.8,70.8,1,8.69
23,4,27.5,54.3,0,6.09
9,6,27.4,76.1,1,9.9
14,2,21.3,57.8,0,5.64
10,1,27.6,44.9,0,10.47
14,0,27.8,59.2,0,7.57
10,1,35.7,66.0,0,13.24
15,5,39.2,55.5,1,11.06
13,6,27.2,62.3,1,6.32
16,0,23.4,47.2,0,5.38
22,3,27.6,23.0,0,6.61
3,0,24.4,68.5,0,4.77
13,5,23.5,65.5,1,6.97
10,0,27.6,57.2,0,10.1
8,4,21.7,56.0,0,7.15
5,0,31.6,70.5,0,8.67
1,5,27.4,48.1,1,5.41
9,6,29.5,44.4,1,9.86
19,5,26.9,52.2,1,6.54
2,1,23.6,72.8,0,2.66
9,5,22.3,34.2,1,8.34
23,2,26.6,72.9,0,7.61
22,5,24.7,45.4,1,5.61
5,5,29.4,38.5,1,6.97
0,3,28.0,73.9,0,6.15
16,4,19.8,53.5,0,5.31
0,5,28.4,35.5,1,5.9
7,1,19.9,49.6,0,6.32
11,0,24.3,69.0,0,8.51
20,3,26.2,72.9,0,7.32
2,1,15.5,48.6,0,3.92
15,6,28.5,61.1,1,7.53
12,6,28.9,65.7,1,9.41
3,2,27.1,45.3,0,4.09
20,2,25.5,60.3,0,5.98
20,4,25.8,54.5,0,6.84
11,3,22.1,47.0,0,7.88
22,0,26.4,47.6,0,5.51
14,4,24.7,56.0,0,6.06
21,5,28.6,55.4,1,6.78
23,0,20.8,46.5,0,3.71
13,5,29.4,48.6,1,7.71
6,3,28.9,71.7,0,6.94
3,5,27.2,58.2,1,4.32
13,5,25.4,68.3,1,7.54
4,4,31.3,73.0,0,8.06
18,2,18.0,63.8,0,5.24
22,2,30.8,89.1,0,7.83
5,5,29.5,42.6,1,6.82
13,0,29.7,67.1,0,9.17
1,1,30.3,50.2,0,5.67
4,3,24.1,82.8,0,5.44
9,6,26.4,80.5,1,8.93
21,5,31.8,25.7,1,7.23
23,5,30.6,40.5,1,5.78
15,1,29.2,65.0,0,8.26
14,1,18.9,66.8,0,6.87
13,1,31.2,66.0,0,9.01
1,5,35.0,53.9,1,6.47
9,3,34.1,61.8,0,12.43
23,1,29.4,64.8,0,7.25
9,5,18.7,53.8,1,7.63
5,4,33.7,70.4,0,8.89
5,6,27.1,21.1,1,5.58
17,3,12.8,64.5,0,4.94
0,0,30.3,39.5,0,6.1
23,6,19.0,69.4,1,4.8
21,1,20.2,51.6,0,5.6
13,0,24.2,41.7,0,5.84
11,5,35.6,60.6,1,11.85
18,3,25.8,41.3,0,6.99
13,4,29.6,41.3,0,9.97
11,0,38.5,31.5,0,11.91
7,5,37.6,54.6,1,12.93
10,2,27.4,62.5,0,9.23
18,6,26.6,70.3,1,7.17
1,4,20.4,52.9,0,4.43
0,6,23.8,70.7,1,4.5
17,5,30.6,55.3,1,7.8
8,5,30.4,53.6,1,9.01
19,0,28.7,63.6,0,8.28
0,5,34.0,70.9,1,6.97
21,4,23.4,49.9,0,4.41
2,2,27.7,51.3,0,6.39
9,2,32.4,52.6,0,11.86
23,4,31.5,56.2,0,8.64
2,1,34.4,41.5,0,6.42
15,1,30.4,70.4,0,9.39
17,6,26.1,49.0,1,7.06
10,5,30.2,61.9,1,11.31
1,4,22.0,42.6,0,3.57
12,5,18.2,60.4,1,6.68
10,2,31.5,60.9,0,11.22
20,5,27.7,48.7,1,5.59
16,1,29.9,85.3,0,7.24
8,3,17.8,60.6,0,8.1
1,1,25.8,81.7,0,4.02
14,2,24.4,69.4,0,6.76
6,2,22.8,45.1,0,5.89
16,2,14.5,49.3,0,7.01
20,3,26.0,61.5,0,7.73
8,0,33.4,55.9,0,11.26
21,2,30.3,55.7,0,8.91
12,5,24.4,50.7,1,6.98
12,3,27.9,27.9,0,8.75
18,3,32.5,51.6,0,9.55
18,0,11.4,21.7,0,4.97
21,2,27.3,60.6,0,7.0
23,6,31.3,44.1,1,6.05
3,3,32.1,44.3,0,6.37
9,0,38.2,51.7,0,14.44
22,5,34.8,59.1,1,8.4
7,5,29.9,33.5,1,8.59
0,2,29.8,28.8,0,5.48
13,0,32.7,39.0,0,9.39
18,5,24.8,24.4,1,4.77
17,1,27.8,40.5,0,7.96
19,6,33.4,78.9,1,10.64
15,2,39.7,39.2,0,11.76
3,2,27.0,64.8,0,4.31
20,5,27.7,34.4,1,7.2
10,0,29.2,59.5,0,10.31
20,0,36.1,50.2,0,10.84
19,5,27.8,54.1,1,7.19
23,6,36.8,63.5,1,9.15
0,6,22.2,81.3,1,4.38
20,0,26.9,57.9,0,6.88
15,1,26.8,56.9,0,6.88
11,2,32.7,40.4,0,10.26
19,4,34.3,63.8,0,9.6
22,6,18.9,51.3,1,4.14
12,5,22.5,67.5,1,7.39
2,2,30.0,54.3,0,4.98
17,6,24.0,81.1,1,5.75
5,1,18.9,25.3,0,4.96
5,0,34.2,50.6,0,7.67
4,3,31.0,68.2,0,6.19
4,0,31.0,49.7,0,5.93
21,4,25.1,43.1,0,6.71
8,6,34.2,51.0,1,12.03
2,0,26.6,34.3,0,4.65
4,0,34.6,56.8,0,7.62
9,1,22.5,91.6,0,9.77
8,1,22.9,72.2,0,7.25
7,3,29.2,38.4,0,9.68
22,4,23.8,41.9,0,5.01
20,6,32.1,48.9,1,6.78
13,3,29.6,70.1,0,10.88
23,6,22.5,42.7,1,5.23
8,5,28.4,44.6,1,8.32
3,5,25.9,68.3,1,3.97
6,1,33.5,68.0,0,9.37
2,3,24.2,49.4,0,3.53
22,6,25.4,38.2,1,4.45
5,5,35.3,31.8,1,7.79
10,1,41.4,44.5,0,14.93
4,5,40.0,21.5,1,9.01
23,5,28.4,66.2,1,6.78
3,1,29.3,45.5,0,5.39
12,0,37.2,62.2,0,13.95
22,1,27.3,83.0,0,6.52
12,3,22.1,72.6,0,8.18
21,1,28.7,37.7,0,6.3
21,0,30.7,68.0,0,7.7
18,0,23.0,72.4,0,7.02
17,2,18.1,43.8,0,5.24
13,2,19.4,40.7,0,7.36
13,2,32.0,53.4,0,9.93
19,3,23.4,31.0,0,5.32
10,5,27.2,77.1,1,9.26
22,1,29.3,20.0,0,6.72
21,3,31.7,38.4,0,8.22
8,5,26.0,51.0,1,8.6
9,0,31.0,51.6,0,11.33
17,6,22.7,57.5,1,5.09
22,6,25.8,59.1,1,5.17
2,2,21.9,51.8,0,3.59
1,6,34.8,72.1,1,7.1
5,1,27.8,22.9,0,6.62
10,6,23.6,55.0,1,9.74
3,4,25.9,44.3,0,4.64
12,1,26.7,57.0,0,8.78
12,0,32.2,58.3,0,10.65
22,2,18.4,41.3,0,4.88
17,5,21.8,45.4,1,4.78
6,1,25.7,66.9,0,6.17
18,3,43.2,60.2,0,12.58
19,0,33.7,44.8,0,9.23
16,2,27.3,85.6,0,7.83
16,0,32.3,89.6,0,8.91
7,6,40.3,33.1,1,12.0
17,3,26.6,59.5,0,6.14
3,5,25.8,92.6,1,5.07
15,0,35.3,66.8,0,10.49
22,1,31.0,58.3,0,9.07
23,1,32.0,51.9,0,8.17
7,3,25.0,46.9,0,8.26
7,6,39.5,51.8,1,11.88
14,4,38.3,46.7,0,11.91
9,3,31.4,66.2,0,12.85
17,6,32.1,49.0,1,7.46
4,1,15.8,48.4,0,4.75
4,1,31.8,37.0,0,7.69
1,4,26.8,54.3,0,4.95
11,5,30.6,41.6,1,10.52
5,1,32.1,52.3,0,8.56
7,1,26.0,70.6,0,7.55
21,3,17.9,60.5,0,6.28
19,5,30.2,62.6,1,7.4
20,1,23.6,60.3,0,5.83
14,5,26.0,55.9,1,6.41
2,3,24.4,53.1,0,3.48
17,4,26.0,50.4,0,6.64
14,4,14.1,66.4,0,6.96
21,3,35.3,38.7,0,8.9
11,3,29.5,75.1,0,11.74
4,6,34.7,55.5,1,8.06
14,2,39.9,43.8,0,12.46
10,6,28.1,47.7,1,9.3
15,5,17.2,44.8,1,5.47
9,1,22.6,57.4,0,8.88
7,6,20.8,44.2,1,6.76
3,2,25.0,72.1,0,3.06
23,1,28.5,43.3,0,6.82
18,1,16.0,20.9,0,7.5
11,0,30.1,44.0,0,9.26
5,2,18.9,24.9,0,5.29
15,0,29.8,54.4,0,8.37
9,3,27.3,70.9,0,9.78
15,6,26.1,64.7,1,7.31
2,6,27.6,34.9,1,3.27
4,6,24.8,43.6,1,3.86
17,1,24.3,81.7,0,7.2
1,1,17.9,59.8,0,3.64
16,4,27.8,55.1,0,6.99
9,6,39.1,70.8,1,13.53
0,5,39.9,91.8,1,9.4
18,1,35.9,74.4,0,11.37
16,5,32.2,57.1,1,7.75
19,3,23.9,60.3,0,6.78
21,3,36.7,64.3,0,9.73
17,3,27.7,45.8,0,7.52
20,3,27.6,39.1,0,7.22
2,6,26.3,55.8,1,2.16
22,5,28.6,40.8,1,6.48
21,0,25.4,54.1,0,5.8
16,5,27.5,56.4,1,6.38
19,2,21.5,90.1,0,7.48
17,2,25.8,42.2,0,5.71
21,4,41.7,53.2,0,11.49
21,6,27.6,52.5,1,7.59
12,0,26.6,61.6,0,8.89
19,3,31.2,70.7,0,9.81
21,1,32.2,47.6,0,8.99
7,6,21.3,42.7,1,5.95
1,3,26.8,30.4,0,4.39
4,5,33.5,41.1,1,7.56
0,6,29.6,63.0,1,6.38
10,0,28.7,55.7,0,10.31
0,5,37.3,39.8,1,8.29
6,5,23.9,49.4,1,5.42
6,5,28.5,55.5,1,6.77
16,6,24.9,62.6,1,6.99
5,5,36.9,46.1,1,8.93
22,5,16.3,51.2,1,4.3
4,4,24.0,27.7,0,3.54
23,2,24.8,37.7,0,5.48
13,5,32.0,79.3,1,10.12
5,4,31.6,22.2,0,7.24
0,4,36.4,49.9,0,8.12
7,6,18.6,58.3,1,6.66
14,5,32.5,49.4,1,7.96
2,2,26.2,42.9,0,3.31
3,2,24.0,54.1,0,4.06
2,2,31.2,54.9,0,5.69
16,1,22.5,53.8,0,6.13
2,0,15.5,26.8,0,3.92
0,5,25.8,52.8,1,4.75
10,5,19.0,42.2,1,8.03
7,1,24.1,46.8,0,8.38
13,2,30.2,58.4,0,9.81
22,6,29.9,64.6,1,6.96
20,5,37.5,68.5,1,11.01
12,4,26.8,47.6,0,9.01
